design,model,phage,spearman,r2,mae,equal_cc_mae
complete_cc_fivefold,lineage_mean,pyo,-0.23977125645519343,-0.5757387418135349,0.1462259735206892,0.15210579195084356
complete_cc_fivefold,pooled_ridge,p0006,0.2472768141434017,-0.0654887677289917,0.16542246190559437,0.2257121209382729
complete_cc_fivefold,pooled_ridge,p0017,0.06212869128755646,-0.2943188697778736,0.2713641329603249,0.29706503199447354
complete_cc_fivefold,pooled_ridge,p0017S,0.30560105507498,-0.02755998780415636,0.08767364129143027,0.11882541734718169
complete_cc_fivefold,pooled_ridge,p002y,0.21232659731447834,-0.24385708866879563,0.09105593027212242,0.12321593542929146
complete_cc_fivefold,pooled_ridge,p003p,0.2193369234736925,-0.18686068954548785,0.09200035639850214,0.13587067902547514
complete_cc_fivefold,pooled_ridge,p0040,-0.03677774721106103,-0.5205157060674062,0.2526256530102997,0.2580520108708353
complete_cc_fivefold,pooled_ridge,p11,0.1361636299419176,-0.49180093463215657,0.2403269041166775,0.22486424310194184
complete_cc_fivefold,pooled_ridge,pyo,0.37291680745470934,-0.06335593069282464,0.09303129400022077,0.15097541244522109
complete_cc_fivefold,within_lineage_ridge,p0006,0.23878239475287658,-0.225979770580093,0.18888556799669862,0.2317953245938123
complete_cc_fivefold,within_lineage_ridge,p0017,0.023515961558740157,-0.29509848342301015,0.2726579137623316,0.2934634793079303
complete_cc_fivefold,within_lineage_ridge,p0017S,0.28277734211260214,-0.2239892457698156,0.10313483377627256,0.12696896492403267
complete_cc_fivefold,within_lineage_ridge,p002y,0.15005792688245262,-0.5281103999587051,0.11413178775874816,0.12781887910786888
complete_cc_fivefold,within_lineage_ridge,p003p,0.1703498706165192,-0.4509314374901432,0.11706696279679042,0.14303746279027096
complete_cc_fivefold,within_lineage_ridge,p0040,-0.019025098744086623,-0.5315663626488454,0.25156951129966043,0.23776267245225402
complete_cc_fivefold,within_lineage_ridge,p11,0.1595292697328033,-0.48276346935612846,0.23332488142847893,0.20568304123345835
complete_cc_fivefold,within_lineage_ridge,pyo,0.33138468531085125,-0.25480539547574965,0.11858669285197174,0.15635028838367954
leave_one_cc_out,balanced_ridge,p0006,0.19532417506601962,-0.13915254549537304,0.1709870982768417,0.24187823161791824
leave_one_cc_out,balanced_ridge,p0017,0.08374740313356105,-0.2121583936414937,0.2652575832015904,0.2705871268672786
leave_one_cc_out,balanced_ridge,p0017S,0.2919264396367681,-0.0680429091207928,0.09020357671918929,0.12403684041673192
leave_one_cc_out,balanced_ridge,p002y,0.2142725023784857,-0.274151535115867,0.09170630122154985,0.12613329801014508
leave_one_cc_out,balanced_ridge,p003p,0.21572036658370355,-0.2419012218156671,0.09347009323365911,0.13941730504397462
leave_one_cc_out,balanced_ridge,p0040,0.014905925611896029,-0.3930659476910543,0.24186204465727693,0.2439436497356891
leave_one_cc_out,balanced_ridge,p11,0.16615365463830312,-0.39468383912650173,0.2297299718104647,0.21288807623154024
leave_one_cc_out,balanced_ridge,pyo,0.38301090748832217,-0.054666496891268235,0.09506184903362169,0.15185215958862522
leave_one_cc_out,isolate_mean,p0006,-0.2934690809648935,-0.040323847544300406,0.16664310236586252,0.25053327920318125
leave_one_cc_out,isolate_mean,p0017,-0.26300929921217125,-0.08563638679448715,0.25864503516231174,0.24766013787832328
leave_one_cc_out,isolate_mean,p0017S,-0.17640754115504928,-0.03464488017669076,0.09475299040748841,0.11936979394047612
leave_one_cc_out,isolate_mean,p002y,-0.3218111908815675,-0.07578660059009823,0.09120458730869281,0.12410349149938048
