cc,phage,n_x,mean_od600,sd_od600,S_fraction,SS_fraction,R_fraction,n_y,mean_broad_permissiveness,sd_broad_permissiveness
12,p0017S,1,0.1848,,1.0,0.0,0.0,1,-0.1017499452089289,
12,p002y,1,0.1676,,1.0,0.0,0.0,1,-0.1017499452089289,
12,p003p,1,0.1721,,1.0,0.0,0.0,1,-0.1017499452089289,
12,p0040,1,0.7891,,0.0,0.0,1.0,1,-0.1017499452089289,
12,p11,1,1.0422,,0.0,0.0,1.0,1,-0.1017499452089289,
12,pyo,1,0.412777778,,0.0,1.0,0.0,1,-0.1017499452089289,
121,p0006,13,0.45650769230769234,0.25312899037690406,0.6153846153846154,0.15384615384615385,0.23076923076923078,13,-0.3433534920342526,0.931403956198607
121,p0017,13,0.5484871795384616,0.2853877435514088,0.38461538461538464,0.23076923076923078,0.38461538461538464,13,-0.3433534920342526,0.931403956198607
121,p0017S,13,0.26014615384615386,0.09761886442848888,0.9230769230769231,0.07692307692307693,0.0,13,-0.3433534920342526,0.931403956198607
121,p002y,13,0.3274615384615384,0.21377574129003168,0.6923076923076923,0.23076923076923078,0.07692307692307693,13,-0.3433534920342526,0.931403956198607
121,p003p,13,0.30933076923076924,0.19331163262383436,0.7692307692307693,0.15384615384615385,0.07692307692307693,13,-0.3433534920342526,0.931403956198607
121,p0040,13,0.7794461538461538,0.14203965769803292,0.0,0.46153846153846156,0.5384615384615384,13,-0.3433534920342526,0.931403956198607
121,p11,13,0.8725230769230768,0.11176933206270667,0.0,0.07692307692307693,0.9230769230769231,13,-0.3433534920342526,0.931403956198607
121,pyo,13,0.3873333332307692,0.23021984485420327,0.6923076923076923,0.15384615384615385,0.15384615384615385,13,-0.3433534920342526,0.931403956198607
15,p0006,3,0.3141666666666667,0.007556674753708362,1.0,0.0,0.0,3,-0.13264370290982355,0.2463220925152412
15,p0017,3,0.6835555553333333,0.22687492484141192,0.0,0.3333333333333333,0.6666666666666666,3,-0.13264370290982355,0.2463220925152412
15,p0017S,3,0.2619666666666667,0.07295384385577867,1.0,0.0,0.0,3,-0.13264370290982355,0.2463220925152412
15,p002y,3,0.2320333333333333,0.010879491409681497,1.0,0.0,0.0,3,-0.13264370290982355,0.2463220925152412
15,p003p,3,0.23090000000000002,0.018439902385858777,1.0,0.0,0.0,3,-0.13264370290982355,0.2463220925152412
15,p0040,3,0.8105333333333333,0.10297865474618187,0.0,0.0,1.0,3,-0.13264370290982355,0.2463220925152412
15,p11,3,0.8683333333333333,0.06824546382971788,0.0,0.0,1.0,3,-0.13264370290982355,0.2463220925152412
15,pyo,3,0.356925926,0.08867058858227314,0.6666666666666666,0.3333333333333333,0.0,3,-0.13264370290982355,0.2463220925152412
22,p0006,6,0.6569999999999999,0.15577138376479807,0.0,0.5,0.5,6,-0.3968838823776979,0.2514480410909045
22,p0017,6,0.4045277778333333,0.1971210687841452,0.5,0.3333333333333333,0.16666666666666666,6,-0.3968838823776979,0.2514480410909045
22,p0017S,6,0.2995166666666667,0.06495430445064182,1.0,0.0,0.0,6,-0.3968838823776979,0.2514480410909045
