n,positives,negatives,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,MCC,accuracy,positive_predictive_value,negative_predictive_value,replicate
30,10,20,9,0,20,1,0.9,0.0,0.45,-0.2626128657194451,0.3,0.3103448275862069,0.0,2393
29,9,20,7,2,18,2,0.7777777777777778,0.1,0.4388888888888889,-0.16397831834998458,0.3103448275862069,0.28,0.5,2394
41,8,33,8,4,29,0,1.0,0.12121212121212122,0.5606060606060606,0.1618889317032706,0.2926829268292683,0.21621621621621623,1.0,2395
31,11,20,11,2,18,0,1.0,0.1,0.55,0.19475891374404053,0.41935483870967744,0.3793103448275862,1.0,2396
30,10,20,9,2,18,1,0.9,0.1,0.5,0.0,0.36666666666666664,0.3333333333333333,0.6666666666666666,2397
28,8,20,7,2,18,1,0.875,0.1,0.4875,-0.03651483716701107,0.32142857142857145,0.28,0.6666666666666666,2398
38,9,29,8,6,23,1,0.8888888888888888,0.20689655172413793,0.5478927203065134,0.1050485078938172,0.3684210526315789,0.25806451612903225,0.8571428571428571,2399
23,5,18,5,0,18,0,1.0,0.0,0.5,,0.21739130434782608,0.21739130434782608,,2400
30,9,21,9,4,17,0,1.0,0.19047619047619047,0.5952380952380952,0.25677629550654774,0.43333333333333335,0.34615384615384615,1.0,2401
14,7,7,6,0,7,1,0.8571428571428571,0.0,0.42857142857142855,-0.2773500981126146,0.42857142857142855,0.46153846153846156,0.0,2402
28,11,17,9,2,15,2,0.8181818181818182,0.11764705882352941,0.46791443850267384,-0.08956221510397983,0.39285714285714285,0.375,0.5,2403
36,7,29,7,2,27,0,1.0,0.06896551724137931,0.5344827586206896,0.11915864618843422,0.25,0.20588235294117646,1.0,2404
33,9,24,8,2,22,1,0.8888888888888888,0.08333333333333333,0.4861111111111111,-0.04303314829119353,0.30303030303030304,0.26666666666666666,0.6666666666666666,2405
21,8,13,6,0,13,2,0.75,0.0,0.375,-0.4135850959342555,0.2857142857142857,0.3157894736842105,0.0,2406
22,11,11,11,0,11,0,1.0,0.0,0.5,,0.5,0.5,,2407
31,8,23,8,4,19,0,1.0,0.17391304347826086,0.5869565217391304,0.22700174153566632,0.3870967741935484,0.2962962962962963,1.0,2408
13,5,8,4,0,8,1,0.8,0.0,0.4,-0.3651483716701107,0.3076923076923077,0.3333333333333333,0.0,2409
31,10,21,10,2,19,0,1.0,0.09523809523809523,0.5476190476190477,0.18122009407318745,0.3870967741935484,0.3448275862068966,1.0,2410
37,9,28,7,4,24,2,0.7777777777777778,0.14285714285714285,0.46031746031746035,-0.09237899924561555,0.2972972972972973,0.22580645161290322,0.6666666666666666,2411
30,11,19,10,0,19,1,0.9090909090909091,0.0,0.45454545454545453,-0.24405148745018082,0.3333333333333333,0.3448275862068966,0.0,2412
31,9,22,8,2,20,1,0.8888888888888888,0.09090909090909091,0.4898989898989899,-0.031016140346615692,0.3225806451612903,0.2857142857142857,0.6666666666666666,2413
25,6,19,5,0,19,1,0.8333333333333334,0.0,0.4166666666666667,-0.36324157862838946,0.2,0.20833333333333334,0.0,2414
15,8,7,7,0,7,1,0.875,0.0,0.4375,-0.25,0.4666666666666667,0.5,0.0,2415
34,11,23,10,2,21,1,0.9090909090909091,0.08695652173913043,0.4980237154150198,-0.006519259448972395,0.35294117647058826,0.3225806451612903,0.6666666666666666,2416
42,11,31,10,4,27,1,0.9090909090909091,0.12903225806451613,0.5190615835777126,0.05175833517000349,0.3333333333333333,0.2702702702702703,0.8,2417
28,11,17,10,2,15,1,0.9090909090909091,0.11764705882352941,0.5133689839572192,0.04222003309207491,0.42857142857142855,0.4,0.6666666666666666,2418
15,8,7,8,0,7,0,1.0,0.0,0.5,,0.5333333333333333,0.5333333333333333,,2419
24,8,16,6,2,14,2,0.75,0.125,0.4375,-0.15811388300841897,0.3333333333333333,0.3,0.5,2420
32,6,26,5,2,24,1,0.8333333333333334,0.07692307692307693,0.4551282051282052,-0.12017278061240778,0.21875,0.1724137931034483,0.6666666666666666,2421
36,9,27,9,4,23,0,1.0,0.14814814814814814,0.5740740740740741,0.2041241452319315,0.3611111111111111,0.28125,1.0,2422
25,7,18,6,2,16,1,0.8571428571428571,0.1111111111111111,0.4841269841269841,-0.04386344633065127,0.32,0.2727272727272727,0.6666666666666666,2423
27,11,16,9,0,16,2,0.8181818181818182,0.0,0.4090909090909091,-0.34112114616897665,0.3333333333333333,0.36,0.0,2424
33,6,27,5,6,21,1,0.8333333333333334,0.2222222222222222,0.5277777777777778,0.05241424183609591,0.3333333333333333,0.19230769230769232,0.8571428571428571,2425
46,11,35,9,2,33,2,0.8181818181818182,0.05714285714285714,0.4376623376623377,-0.18873664545023325,0.2391304347826087,0.21428571428571427,0.5,2426
38,8,30,8,2,28,0,1.0,0.06666666666666667,0.5333333333333333,0.12171612389003691,0.2631578947368421,0.2222222222222222,1.0,2427
35,13,22,13,2,20,0,1.0,0.09090909090909091,0.5454545454545454,0.18924236358783025,0.42857142857142855,0.3939393939393939,1.0,2428
11,3,8,2,0,8,1,0.6666666666666666,0.0,0.3333333333333333,-0.5163977794943222,0.18181818181818182,0.2,0.0,2429
56,10,46,8,8,38,2,0.8,0.17391304347826086,0.48695652173913045,-0.02608695652173913,0.2857142857142857,0.17391304347826086,0.8,2430
33,8,25,7,2,23,1,0.875,0.08,0.4775,-0.0670820393249937,0.2727272727272727,0.23333333333333334,0.6666666666666666,2431
34,8,26,7,2,24,1,0.875,0.07692307692307693,0.47596153846153844,-0.07189966356788136,0.2647058823529412,0.22580645161290322,0.6666666666666666,2432
18,5,13,4,2,11,1,0.8,0.15384615384615385,0.47692307692307695,-0.05547001962252291,0.3333333333333333,0.26666666666666666,0.6666666666666666,2433
40,13,27,12,2,25,1,0.9230769230769231,0.07407407407407407,0.4985754985754986,-0.0050662305843061466,0.35,0.32432432432432434,0.6666666666666666,2434
30,10,20,10,2,18,0,1.0,0.1,0.55,0.18898223650461363,0.4,0.35714285714285715,1.0,2435
27,10,17,9,2,15,1,0.9,0.11764705882352941,0.5088235294117647,0.02711630722733202,0.4074074074074074,0.375,0.6666666666666666,2436
35,10,25,8,2,23,2,0.8,0.08,0.44,-0.17038855027411942,0.2857142857142857,0.25806451612903225,0.5,2437
22,9,13,8,0,13,1,0.8888888888888888,0.0,0.4444444444444444,-0.26226526415648105,0.36363636363636365,0.38095238095238093,0.0,2438
25,9,16,5,0,16,4,0.5555555555555556,0.0,0.2777777777777778,-0.5819143739626463,0.2,0.23809523809523808,0.0,2439
26,7,19,5,2,17,2,0.7142857142857143,0.10526315789473684,0.40977443609022557,-0.2218421599939607,0.2692307692307692,0.22727272727272727,0.5,2440
44,10,34,9,4,30,1,0.9,0.11764705882352941,0.5088235294117647,0.02330206912141852,0.29545454545454547,0.23076923076923078,0.8,2441
30,10,20,8,0,20,2,0.8,0.0,0.4,-0.37796447300922725,0.26666666666666666,0.2857142857142857,0.0,2442
30,9,21,8,0,21,1,0.8888888888888888,0.0,0.4444444444444444,-0.28365431446558775,0.26666666666666666,0.27586206896551724,0.0,2443
35,9,26,9,4,22,0,1.0,0.15384615384615385,0.5769230769230769,0.21134098610290408,0.37142857142857144,0.2903225806451613,1.0,2444
32,11,21,11,2,19,0,1.0,0.09523809523809523,0.5476190476190477,0.1868706368604627,0.40625,0.36666666666666664,1.0,2445
43,8,35,8,6,29,0,1.0,0.17142857142857143,0.5857142857142857,0.19252438044475578,0.32558139534883723,0.21621621621621623,1.0,2446
25,8,17,7,2,15,1,0.875,0.11764705882352941,0.4963235294117647,-0.010555008273018727,0.36,0.3181818181818182,0.6666666666666666,2447
18,6,12,5,0,12,1,0.8333333333333334,0.0,0.4166666666666667,-0.3429971702850177,0.2777777777777778,0.29411764705882354,0.0,2448
32,10,22,9,2,20,1,0.9,0.09090909090909091,0.4954545454545455,-0.014456362470655182,0.34375,0.3103448275862069,0.6666666666666666,2449
28,10,18,9,0,18,1,0.9,0.0,0.45,-0.25819888974716115,0.32142857142857145,0.3333333333333333,0.0,2450
20,8,12,6,0,12,2,0.75,0.0,0.375,-0.408248290463863,0.3,0.3333333333333333,0.0,2451
32,8,24,5,4,20,3,0.625,0.16666666666666666,0.3958333333333333,-0.2182178902359924,0.28125,0.2,0.5714285714285714,2452
16,7,9,7,0,9,0,1.0,0.0,0.5,,0.4375,0.4375,,2453
30,9,21,8,2,19,1,0.8888888888888888,0.09523809523809523,0.49206349206349204,-0.024246432248443597,0.3333333333333333,0.2962962962962963,0.6666666666666666,2454
35,11,24,9,0,24,2,0.8181818181818182,0.0,0.4090909090909091,-0.36363636363636365,0.2571428571428571,0.2727272727272727,0.0,2455
35,9,26,8,4,22,1,0.8888888888888888,0.15384615384615385,0.5213675213675213,0.05337605126836238,0.34285714285714286,0.26666666666666666,0.8,2456
43,12,31,12,4,27,0,1.0,0.12903225806451613,0.564516129032258,0.19925419255468715,0.37209302325581395,0.3076923076923077,1.0,2457
28,10,18,9,2,16,1,0.9,0.1111111111111111,0.5055555555555555,0.01721325931647741,0.39285714285714285,0.36,0.6666666666666666,2458
25,8,17,7,2,15,1,0.875,0.11764705882352941,0.4963235294117647,-0.010555008273018727,0.36,0.3181818181818182,0.6666666666666666,2459
30,7,23,7,4,19,0,1.0,0.17391304347826086,0.5869565217391304,0.2163856337073152,0.36666666666666664,0.2692307692307692,1.0,2460
27,6,21,5,2,19,1,0.8333333333333334,0.09523809523809523,0.4642857142857143,-0.0944911182523068,0.25925925925925924,0.20833333333333334,0.6666666666666666,2461
20,8,12,5,0,12,3,0.625,0.0,0.3125,-0.5144957554275266,0.25,0.29411764705882354,0.0,2462
37,8,29,7,4,25,1,0.875,0.13793103448275862,0.5064655172413793,0.015571027472576243,0.2972972972972973,0.21875,0.8,2463
23,10,13,10,2,11,0,1.0,0.15384615384615385,0.5769230769230769,0.27066598098038336,0.5217391304347826,0.47619047619047616,1.0,2464
21,9,12,7,0,12,2,0.7777777777777778,0.0,0.3888888888888889,-0.37463432463267765,0.3333333333333333,0.3684210526315789,0.0,2465
34,10,24,9,2,22,1,0.9,0.08333333333333333,0.4916666666666667,-0.026773977630083295,0.3235294117647059,0.2903225806451613,0.6666666666666666,2466
36,10,26,10,4,22,0,1.0,0.15384615384615385,0.5769230769230769,0.21926450482675733,0.3888888888888889,0.3125,1.0,2467
32,10,22,10,0,22,0,1.0,0.0,0.5,,0.3125,0.3125,,2468
26,8,18,8,0,18,0,1.0,0.0,0.5,,0.3076923076923077,0.3076923076923077,,2469
30,6,24,5,4,20,1,0.8333333333333334,0.16666666666666666,0.5,0.0,0.3,0.2,0.8,2470
37,9,28,9,2,26,0,1.0,0.07142857142857142,0.5357142857142857,0.1355261854357877,0.2972972972972973,0.2571428571428571,1.0,2471
44,9,35,8,4,31,1,0.8888888888888888,0.11428571428571428,0.5015873015873016,0.004034850217792016,0.2727272727272727,0.20512820512820512,0.8,2472
33,8,25,6,6,19,2,0.75,0.24,0.495,-0.01,0.36363636363636365,0.24,0.75,2473
36,12,24,12,2,22,0,1.0,0.08333333333333333,0.5416666666666666,0.17149858514250885,0.3888888888888889,0.35294117647058826,1.0,2474
29,11,18,11,0,18,0,1.0,0.0,0.5,,0.3793103448275862,0.3793103448275862,,2475
31,7,24,7,4,20,0,1.0,0.16666666666666666,0.5833333333333334,0.20786985482077452,0.3548387096774194,0.25925925925925924,1.0,2476
30,10,20,8,0,20,2,0.8,0.0,0.4,-0.37796447300922725,0.26666666666666666,0.2857142857142857,0.0,2477
30,9,21,6,2,19,3,0.6666666666666666,0.09523809523809523,0.38095238095238093,-0.2927700218845599,0.26666666666666666,0.24,0.4,2478
31,9,22,8,2,20,1,0.8888888888888888,0.09090909090909091,0.4898989898989899,-0.031016140346615692,0.3225806451612903,0.2857142857142857,0.6666666666666666,2479
29,10,19,9,2,17,1,0.9,0.10526315789473684,0.5026315789473684,0.00821440096816907,0.3793103448275862,0.34615384615384615,0.6666666666666666,2480
39,10,29,8,4,25,2,0.8,0.13793103448275862,0.46896551724137936,-0.07511746287542016,0.3076923076923077,0.24242424242424243,0.6666666666666666,2481
26,9,17,9,2,15,0,1.0,0.11764705882352941,0.5588235294117647,0.21004201260420147,0.4230769230769231,0.375,1.0,2482
45,10,35,10,6,29,0,1.0,0.17142857142857143,0.5857142857142857,0.2096569673443837,0.35555555555555557,0.2564102564102564,1.0,2483
43,11,32,8,4,28,3,0.7272727272727273,0.125,0.42613636363636365,-0.17459497553883238,0.27906976744186046,0.2222222222222222,0.5714285714285714,2484
35,7,28,6,0,28,1,0.8571428571428571,0.0,0.42857142857142855,-0.3429971702850177,0.17142857142857143,0.17647058823529413,0.0,2485
22,10,12,9,2,10,1,0.9,0.16666666666666666,0.5333333333333333,0.0967301666813349,0.5,0.47368421052631576,0.6666666666666666,2486
38,8,30,8,2,28,0,1.0,0.06666666666666667,0.5333333333333333,0.12171612389003691,0.2631578947368421,0.2222222222222222,1.0,2487
29,8,21,8,2,19,0,1.0,0.09523809523809523,0.5476190476190477,0.1679842102263232,0.3448275862068966,0.2962962962962963,1.0,2488
20,8,12,6,0,12,2,0.75,0.0,0.375,-0.408248290463863,0.3,0.3333333333333333,0.0,2489
22,10,12,9,0,12,1,0.9,0.0,0.45,-0.23904572186687875,0.4090909090909091,0.42857142857142855,0.0,2490
35,11,24,9,2,22,2,0.8181818181818182,0.08333333333333333,0.4507575757575758,-0.1437012486927491,0.3142857142857143,0.2903225806451613,0.5,2491
25,7,18,6,0,18,1,0.8571428571428571,0.0,0.42857142857142855,-0.32732683535398854,0.24,0.25,0.0,2492
30,9,21,9,2,19,0,1.0,0.09523809523809523,0.5476190476190477,0.1749635530559413,0.36666666666666664,0.32142857142857145,1.0,2493
38,10,28,9,2,26,1,0.9,0.07142857142857142,0.4857142857142857,-0.046656947481584346,0.2894736842105263,0.2571428571428571,0.6666666666666666,2494
31,10,21,10,2,19,0,1.0,0.09523809523809523,0.5476190476190477,0.18122009407318745,0.3870967741935484,0.3448275862068966,1.0,2495
24,10,14,9,2,12,1,0.9,0.14285714285714285,0.5214285714285715,0.06388765649999399,0.4583333333333333,0.42857142857142855,0.6666666666666666,2496
18,10,8,9,0,8,1,0.9,0.0,0.45,-0.21693045781865616,0.5,0.5294117647058824,0.0,2497
28,10,18,9,2,16,1,0.9,0.1111111111111111,0.5055555555555555,0.01721325931647741,0.39285714285714285,0.36,0.6666666666666666,2498
31,9,22,6,2,20,3,0.6666666666666666,0.09090909090909091,0.3787878787878788,-0.2991830368027063,0.25806451612903225,0.23076923076923078,0.4,2499
33,9,24,9,2,22,0,1.0,0.08333333333333333,0.5416666666666666,0.1555427542095638,0.3333333333333333,0.2903225806451613,1.0,2500
33,10,23,9,2,21,1,0.9,0.08695652173913043,0.49347826086956526,-0.020851441405707476,0.3333333333333333,0.3,0.6666666666666666,2501
36,10,26,9,2,24,1,0.9,0.07692307692307693,0.4884615384615385,-0.03739787960033829,0.3055555555555556,0.2727272727272727,0.6666666666666666,2502
26,9,17,8,2,15,1,0.8888888888888888,0.11764705882352941,0.5032679738562091,0.009732619374563063,0.38461538461538464,0.34782608695652173,0.6666666666666666,2503
28,8,20,7,2,18,1,0.875,0.1,0.4875,-0.03651483716701107,0.32142857142857145,0.28,0.6666666666666666,2504
35,10,25,10,6,19,0,1.0,0.24,0.62,0.2876779808912305,0.45714285714285713,0.3448275862068966,1.0,2505
14,10,4,8,0,4,2,0.8,0.0,0.4,-0.2581988897471611,0.5714285714285714,0.6666666666666666,0.0,2506
41,7,34,7,6,28,0,1.0,0.17647058823529413,0.5882352941176471,0.18786728732554486,0.3170731707317073,0.2,1.0,2507
26,7,19,5,2,17,2,0.7142857142857143,0.10526315789473684,0.40977443609022557,-0.2218421599939607,0.2692307692307692,0.22727272727272727,0.5,2508
20,9,11,8,0,11,1,0.8888888888888888,0.0,0.4444444444444444,-0.25362863675089403,0.4,0.42105263157894735,0.0,2509
20,10,10,8,0,10,2,0.8,0.0,0.4,-0.3333333333333333,0.4,0.4444444444444444,0.0,2510
29,8,21,8,2,19,0,1.0,0.09523809523809523,0.5476190476190477,0.1679842102263232,0.3448275862068966,0.2962962962962963,1.0,2511
46,13,33,13,4,29,0,1.0,0.12121212121212122,0.5606060606060606,0.19369573438265883,0.3695652173913043,0.30952380952380953,1.0,2512
33,7,26,6,4,22,1,0.8571428571428571,0.15384615384615385,0.5054945054945055,0.012529400275814702,0.30303030303030304,0.21428571428571427,0.8,2513
23,7,16,6,2,14,1,0.8571428571428571,0.125,0.49107142857142855,-0.024397501823713332,0.34782608695652173,0.3,0.6666666666666666,2514
18,7,11,7,0,11,0,1.0,0.0,0.5,,0.3888888888888889,0.3888888888888889,,2515
26,10,16,10,2,14,0,1.0,0.125,0.5625,0.22821773229381923,0.46153846153846156,0.4166666666666667,1.0,2516
36,7,29,6,4,25,1,0.8571428571428571,0.13793103448275862,0.49753694581280783,-0.005637494510051965,0.2777777777777778,0.1935483870967742,0.8,2517
29,8,21,8,0,21,0,1.0,0.0,0.5,,0.27586206896551724,0.27586206896551724,,2518
23,9,14,9,2,12,0,1.0,0.14285714285714285,0.5714285714285714,0.24743582965269675,0.4782608695652174,0.42857142857142855,1.0,2519
30,6,24,6,4,20,0,1.0,0.16666666666666666,0.5833333333333334,0.19611613513818402,0.3333333333333333,0.23076923076923078,1.0,2520
21,9,12,8,0,12,1,0.8888888888888888,0.0,0.4444444444444444,-0.25819888974716115,0.38095238095238093,0.4,0.0,2521
44,9,35,9,6,29,0,1.0,0.17142857142857143,0.5857142857142857,0.20149814827784024,0.3409090909090909,0.23684210526315788,1.0,2522
32,8,24,6,4,20,2,0.75,0.16666666666666666,0.4583333333333333,-0.09245003270420485,0.3125,0.23076923076923078,0.6666666666666666,2523
40,10,30,8,2,28,2,0.8,0.06666666666666667,0.43333333333333335,-0.19245008972987526,0.25,0.2222222222222222,0.5,2524
25,9,16,9,0,16,0,1.0,0.0,0.5,,0.36,0.36,,2525
24,8,16,6,0,16,2,0.75,0.0,0.375,-0.42640143271122083,0.25,0.2727272727272727,0.0,2526
32,11,21,10,0,21,1,0.9090909090909091,0.0,0.45454545454545453,-0.24816038707378335,0.3125,0.3225806451612903,0.0,2527
28,10,18,10,4,14,0,1.0,0.2222222222222222,0.6111111111111112,0.3042903097250923,0.5,0.4166666666666667,1.0,2528
25,7,18,7,0,18,0,1.0,0.0,0.5,,0.28,0.28,,2529
46,10,36,8,2,34,2,0.8,0.05555555555555555,0.4277777777777778,-0.21144501580551553,0.21739130434782608,0.19047619047619047,0.5,2530
25,7,18,6,2,16,1,0.8571428571428571,0.1111111111111111,0.4841269841269841,-0.04386344633065127,0.32,0.2727272727272727,0.6666666666666666,2531
30,10,20,9,2,18,1,0.9,0.1,0.5,0.0,0.36666666666666664,0.3333333333333333,0.6666666666666666,2532
30,6,24,6,2,22,0,1.0,0.08333333333333333,0.5416666666666666,0.1336306209562122,0.26666666666666666,0.21428571428571427,1.0,2533
27,5,22,5,2,20,0,1.0,0.09090909090909091,0.5454545454545454,0.13483997249264842,0.25925925925925924,0.2,1.0,2534
30,11,19,10,2,17,1,0.9090909090909091,0.10526315789473684,0.507177033492823,0.02305714879553582,0.4,0.37037037037037035,0.6666666666666666,2535
17,11,6,10,0,6,1,0.9090909090909091,0.0,0.45454545454545453,-0.1846372364689991,0.5882352941176471,0.625,0.0,2536
28,8,20,8,2,18,0,1.0,0.1,0.55,0.17541160386140586,0.35714285714285715,0.3076923076923077,1.0,2537
30,8,22,6,0,22,2,0.75,0.0,0.375,-0.44320263021395917,0.2,0.21428571428571427,0.0,2538
31,10,21,9,2,19,1,0.9,0.09523809523809523,0.4976190476190476,-0.007529232524210427,0.3548387096774194,0.32142857142857145,0.6666666666666666,2539
30,8,22,7,4,18,1,0.875,0.18181818181818182,0.5284090909090909,0.06741998624632421,0.36666666666666664,0.28,0.8,2540
26,10,16,10,0,16,0,1.0,0.0,0.5,,0.38461538461538464,0.38461538461538464,,2541
18,7,11,7,2,9,0,1.0,0.18181818181818182,0.5909090909090909,0.2820380374088831,0.5,0.4375,1.0,2542
24,9,15,9,2,13,0,1.0,0.13333333333333333,0.5666666666666667,0.2335496832484569,0.4583333333333333,0.4090909090909091,1.0,2543
38,12,26,10,4,22,2,0.8333333333333334,0.15384615384615385,0.4935897435897436,-0.016343011261515335,0.3684210526315789,0.3125,0.6666666666666666,2544
38,12,26,11,4,22,1,0.9166666666666666,0.15384615384615385,0.5352564102564102,0.09696241231378994,0.39473684210526316,0.3333333333333333,0.8,2545
37,10,27,10,4,23,0,1.0,0.14814814814814814,0.5740740740740741,0.21188057538790941,0.3783783783783784,0.30303030303030304,1.0,2546
49,11,38,11,6,32,0,1.0,0.15789473684210525,0.5789473684210527,0.20097680678771138,0.3469387755102041,0.2558139534883721,1.0,2547
27,10,17,9,2,15,1,0.9,0.11764705882352941,0.5088235294117647,0.02711630722733202,0.4074074074074074,0.375,0.6666666666666666,2548
27,9,18,5,0,18,4,0.5555555555555556,0.0,0.2777777777777778,-0.5897678246195885,0.18518518518518517,0.21739130434782608,0.0,2549
40,11,29,8,4,25,3,0.7272727272727273,0.13793103448275862,0.432601880877743,-0.1584043574288347,0.3,0.24242424242424243,0.5714285714285714,2550
18,8,10,6,0,10,2,0.75,0.0,0.375,-0.3952847075210474,0.3333333333333333,0.375,0.0,2551
22,6,16,5,0,16,1,0.8333333333333334,0.0,0.4166666666666667,-0.3563483225498992,0.22727272727272727,0.23809523809523808,0.0,2552
24,8,16,8,0,16,0,1.0,0.0,0.5,,0.3333333333333333,0.3333333333333333,,2553
43,7,36,6,8,28,1,0.8571428571428571,0.2222222222222222,0.5396825396825397,0.07202263595024049,0.32558139534883723,0.17647058823529413,0.8888888888888888,2554
42,7,35,7,4,31,0,1.0,0.11428571428571428,0.5571428571428572,0.14509525002200233,0.2619047619047619,0.18421052631578946,1.0,2555
30,11,19,10,2,17,1,0.9090909090909091,0.10526315789473684,0.507177033492823,0.02305714879553582,0.4,0.37037037037037035,0.6666666666666666,2556
37,8,29,6,2,27,2,0.75,0.06896551724137931,0.40948275862068967,-0.24000391846330957,0.21621621621621623,0.18181818181818182,0.5,2557
43,10,33,9,6,27,1,0.9,0.18181818181818182,0.5409090909090909,0.09362816758985389,0.3488372093023256,0.25,0.8571428571428571,2558
29,9,20,9,0,20,0,1.0,0.0,0.5,,0.3103448275862069,0.3103448275862069,,2559
34,11,23,11,2,21,0,1.0,0.08695652173913043,0.5434782608695652,0.17289101870203116,0.38235294117647056,0.34375,1.0,2560
30,9,21,8,2,19,1,0.8888888888888888,0.09523809523809523,0.49206349206349204,-0.024246432248443597,0.3333333333333333,0.2962962962962963,0.6666666666666666,2561
30,8,22,8,2,20,0,1.0,0.09090909090909091,0.5454545454545454,0.16116459280507606,0.3333333333333333,0.2857142857142857,1.0,2562
26,6,20,4,4,16,2,0.6666666666666666,0.2,0.43333333333333335,-0.13333333333333333,0.3076923076923077,0.2,0.6666666666666666,2563
31,7,24,5,4,20,2,0.7142857142857143,0.16666666666666666,0.44047619047619047,-0.12598815766974242,0.2903225806451613,0.2,0.6666666666666666,2564
21,5,16,5,2,14,0,1.0,0.125,0.5625,0.18136906252750293,0.3333333333333333,0.2631578947368421,1.0,2565
30,10,20,10,4,16,0,1.0,0.2,0.6,0.2773500981126146,0.4666666666666667,0.38461538461538464,1.0,2566
38,8,30,5,4,26,3,0.625,0.13333333333333333,0.37916666666666665,-0.2541513996573158,0.23684210526315788,0.16129032258064516,0.5714285714285714,2567
25,8,17,7,2,15,1,0.875,0.11764705882352941,0.4963235294117647,-0.010555008273018727,0.36,0.3181818181818182,0.6666666666666666,2568
34,11,23,10,2,21,1,0.9090909090909091,0.08695652173913043,0.4980237154150198,-0.006519259448972395,0.35294117647058826,0.3225806451612903,0.6666666666666666,2569
22,11,11,8,0,11,3,0.7272727272727273,0.0,0.36363636363636365,-0.39735970711951313,0.36363636363636365,0.42105263157894735,0.0,2570
32,6,26,6,2,24,0,1.0,0.07692307692307693,0.5384615384615384,0.12403473458920847,0.25,0.2,1.0,2571
35,12,23,10,2,21,2,0.8333333333333334,0.08695652173913043,0.46014492753623193,-0.11892065626771291,0.34285714285714286,0.3225806451612903,0.5,2572
32,11,21,10,4,17,1,0.9090909090909091,0.19047619047619047,0.5497835497835497,0.13024317114517098,0.4375,0.37037037037037035,0.8,2573
25,7,18,7,4,14,0,1.0,0.2222222222222222,0.6111111111111112,0.2721655269759087,0.44,0.3333333333333333,1.0,2574
35,10,25,9,2,23,1,0.9,0.08,0.49,-0.032274861218395144,0.3142857142857143,0.28125,0.6666666666666666,2575
35,11,24,10,2,22,1,0.9090909090909091,0.08333333333333333,0.4962121212121212,-0.012562972690740151,0.34285714285714286,0.3125,0.6666666666666666,2576
40,13,27,11,6,21,2,0.8461538461538461,0.2222222222222222,0.5341880341880342,0.08006407690254358,0.425,0.34375,0.75,2577
28,11,17,9,0,17,2,0.8181818181818182,0.0,0.4090909090909091,-0.34479141358380555,0.32142857142857145,0.34615384615384615,0.0,2578
40,10,30,9,6,24,1,0.9,0.2,0.55,0.11396057645963793,0.375,0.2727272727272727,0.8571428571428571,2579
36,12,24,11,2,22,1,0.9166666666666666,0.08333333333333333,0.5,0.0,0.3611111111111111,0.3333333333333333,0.6666666666666666,2580
15,9,6,6,0,6,3,0.6666666666666666,0.0,0.3333333333333333,-0.408248290463863,0.4,0.5,0.0,2581
20,9,11,8,0,11,1,0.8888888888888888,0.0,0.4444444444444444,-0.25362863675089403,0.4,0.42105263157894735,0.0,2582
21,6,15,6,2,13,0,1.0,0.13333333333333333,0.5666666666666667,0.20519567041703082,0.38095238095238093,0.3157894736842105,1.0,2583
39,11,28,11,2,26,0,1.0,0.07142857142857142,0.5357142857142857,0.14572412715649127,0.3333333333333333,0.2972972972972973,1.0,2584
19,8,11,8,0,11,0,1.0,0.0,0.5,,0.42105263157894735,0.42105263157894735,,2585
28,9,19,9,0,19,0,1.0,0.0,0.5,,0.32142857142857145,0.32142857142857145,,2586
29,9,20,8,0,20,1,0.8888888888888888,0.0,0.4444444444444444,-0.2817180849095055,0.27586206896551724,0.2857142857142857,0.0,2587
32,9,23,8,0,23,1,0.8888888888888888,0.0,0.4444444444444444,-0.28711892307136966,0.25,0.25806451612903225,0.0,2588
32,8,24,7,2,22,1,0.875,0.08333333333333333,0.4791666666666667,-0.061898446059017294,0.28125,0.2413793103448276,0.6666666666666666,2589
15,6,9,5,0,9,1,0.8333333333333334,0.0,0.4166666666666667,-0.32732683535398854,0.3333333333333333,0.35714285714285715,0.0,2590
54,10,44,10,10,34,0,1.0,0.22727272727272727,0.6136363636363636,0.22727272727272727,0.37037037037037035,0.22727272727272727,1.0,2591
25,11,14,11,2,12,0,1.0,0.14285714285714285,0.5714285714285714,0.2613866510869666,0.52,0.4782608695652174,1.0,2592
16,4,12,2,0,12,2,0.5,0.0,0.25,-0.6546536707079772,0.125,0.14285714285714285,0.0,2593
25,10,15,9,0,15,1,0.9,0.0,0.45,-0.25,0.36,0.375,0.0,2594
29,9,20,9,0,20,0,1.0,0.0,0.5,,0.3103448275862069,0.3103448275862069,,2595
28,12,16,8,0,16,4,0.6666666666666666,0.0,0.3333333333333333,-0.47140452079103173,0.2857142857142857,0.3333333333333333,0.0,2596
40,11,29,11,2,27,0,1.0,0.06896551724137931,0.5344827586206896,0.14129296641852573,0.325,0.2894736842105263,1.0,2597
34,12,22,12,4,18,0,1.0,0.18181818181818182,0.5909090909090909,0.26967994498529685,0.47058823529411764,0.4,1.0,2598
22,9,13,6,2,11,3,0.6666666666666666,0.15384615384615385,0.41025641025641024,-0.21057989315866538,0.36363636363636365,0.35294117647058826,0.4,2599
18,5,13,5,0,13,0,1.0,0.0,0.5,,0.2777777777777778,0.2777777777777778,,2600
