n,positives,negatives,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,MCC,accuracy,positive_predictive_value,negative_predictive_value,replicate
33,6,27,6,0,27,0,1.0,0.0,0.5,,0.18181818181818182,0.18181818181818182,,90
29,8,21,7,2,19,1,0.875,0.09523809523809523,0.4851190476190476,-0.04367853486341326,0.3103448275862069,0.2692307692307692,0.6666666666666666,91
33,8,25,7,4,21,1,0.875,0.16,0.5175,0.04183300132670378,0.3333333333333333,0.25,0.8,92
37,9,28,9,2,26,0,1.0,0.07142857142857142,0.5357142857142857,0.1355261854357877,0.2972972972972973,0.2571428571428571,1.0,93
22,7,15,4,0,15,3,0.5714285714285714,0.0,0.2857142857142857,-0.5816750507471109,0.18181818181818182,0.21052631578947367,0.0,94
29,11,18,11,2,16,0,1.0,0.1111111111111111,0.5555555555555556,0.21276157950140848,0.4482758620689655,0.4074074074074074,1.0,95
29,6,23,5,4,19,1,0.8333333333333334,0.17391304347826086,0.5036231884057971,0.007770873402002615,0.3103448275862069,0.20833333333333334,0.8,96
33,7,26,6,0,26,1,0.8571428571428571,0.0,0.42857142857142855,-0.34069257193462343,0.18181818181818182,0.1875,0.0,97
32,9,23,4,2,21,5,0.4444444444444444,0.08695652173913043,0.2657004830917874,-0.5096447293679518,0.1875,0.16,0.2857142857142857,98
37,9,28,9,2,26,0,1.0,0.07142857142857142,0.5357142857142857,0.1355261854357877,0.2972972972972973,0.2571428571428571,1.0,99
47,12,35,11,4,31,1,0.9166666666666666,0.11428571428571428,0.5154761904761904,0.043773276930595795,0.3191489361702128,0.2619047619047619,0.8,100
35,10,25,7,6,19,3,0.7,0.24,0.47,-0.06201736729460423,0.37142857142857144,0.2692307692307692,0.6666666666666666,101
33,11,22,11,4,18,0,1.0,0.18181818181818182,0.5909090909090909,0.2626128657194451,0.45454545454545453,0.3793103448275862,1.0,102
35,9,26,7,2,24,2,0.7777777777777778,0.07692307692307693,0.4273504273504274,-0.19959982020829828,0.2571428571428571,0.22580645161290322,0.5,103
29,8,21,7,4,17,1,0.875,0.19047619047619047,0.5327380952380952,0.07747247335011402,0.3793103448275862,0.2916666666666667,0.8,104
39,8,31,8,4,27,0,1.0,0.12903225806451613,0.564516129032258,0.17173551629643674,0.3076923076923077,0.22857142857142856,1.0,105
40,8,32,7,4,28,1,0.875,0.125,0.5,0.0,0.275,0.2,0.8,106
26,9,17,9,0,17,0,1.0,0.0,0.5,,0.34615384615384615,0.34615384615384615,,107
25,5,20,5,0,20,0,1.0,0.0,0.5,,0.2,0.2,,108
28,8,20,8,2,18,0,1.0,0.1,0.55,0.17541160386140586,0.35714285714285715,0.3076923076923077,1.0,109
34,9,25,9,2,23,0,1.0,0.08,0.54,0.15,0.3235294117647059,0.28125,1.0,110
24,9,15,9,2,13,0,1.0,0.13333333333333333,0.5666666666666667,0.2335496832484569,0.4583333333333333,0.4090909090909091,1.0,111
44,8,36,8,4,32,0,1.0,0.1111111111111111,0.5555555555555556,0.14907119849998599,0.2727272727272727,0.2,1.0,112
15,9,6,9,0,6,0,1.0,0.0,0.5,,0.6,0.6,,113
42,10,32,9,4,28,1,0.9,0.125,0.5125,0.032879797461071454,0.30952380952380953,0.24324324324324326,0.8,114
32,10,22,9,2,20,1,0.9,0.09090909090909091,0.4954545454545455,-0.014456362470655182,0.34375,0.3103448275862069,0.6666666666666666,115
19,7,12,7,2,10,0,1.0,0.16666666666666666,0.5833333333333334,0.2619684159977919,0.47368421052631576,0.4117647058823529,1.0,116
24,9,15,9,0,15,0,1.0,0.0,0.5,,0.375,0.375,,117
45,9,36,8,6,30,1,0.8888888888888888,0.16666666666666666,0.5277777777777778,0.06131393394849658,0.3111111111111111,0.21052631578947367,0.8571428571428571,118
40,9,31,8,6,25,1,0.8888888888888888,0.1935483870967742,0.5412186379928315,0.0905982365507463,0.35,0.24242424242424243,0.8571428571428571,119
33,10,23,8,2,21,2,0.8,0.08695652173913043,0.4434782608695652,-0.15917704399294777,0.30303030303030304,0.27586206896551724,0.5,120
16,9,7,5,0,7,4,0.5555555555555556,0.0,0.2777777777777778,-0.5091750772173156,0.3125,0.4166666666666667,0.0,121
31,9,22,8,4,18,1,0.8888888888888888,0.18181818181818182,0.5353535353535354,0.08726171906745601,0.3870967741935484,0.3076923076923077,0.8,122
28,8,20,8,4,16,0,1.0,0.2,0.6,0.2581988897471611,0.42857142857142855,0.3333333333333333,1.0,123
22,7,15,7,0,15,0,1.0,0.0,0.5,,0.3181818181818182,0.3181818181818182,,124
18,10,8,10,0,8,0,1.0,0.0,0.5,,0.5555555555555556,0.5555555555555556,,125
23,7,16,6,2,14,1,0.8571428571428571,0.125,0.49107142857142855,-0.024397501823713332,0.34782608695652173,0.3,0.6666666666666666,126
