design,cc,phage,mae
outcome_stratified_kfold,15,p0040,0.2295644233990342
outcome_stratified_kfold,15,p11,0.12045223193007659
outcome_stratified_kfold,15,pyo,0.1351784800535899
outcome_stratified_kfold,22,p0006,0.10829365071117304
outcome_stratified_kfold,22,p0017,0.22313983174481344
outcome_stratified_kfold,22,p0017S,0.06095083187551401
outcome_stratified_kfold,22,p002y,0.047056029265454755
outcome_stratified_kfold,22,p003p,0.035645878234999234
outcome_stratified_kfold,22,p0040,0.1665284568750795
outcome_stratified_kfold,22,p11,0.14565238650200857
outcome_stratified_kfold,22,pyo,0.03930511617742123
outcome_stratified_kfold,25,p0006,0.23894783836204697
outcome_stratified_kfold,25,p0017,0.179968629826034
outcome_stratified_kfold,25,p0017S,0.072345192206096
outcome_stratified_kfold,25,p002y,0.13511593617375994
outcome_stratified_kfold,25,p003p,0.09115530938377989
outcome_stratified_kfold,25,p0040,0.21458703185332417
outcome_stratified_kfold,25,p11,0.2144820309296886
outcome_stratified_kfold,25,pyo,0.2214197622168227
outcome_stratified_kfold,30,p0006,0.24248274266542247
outcome_stratified_kfold,30,p0017,0.22613591805718353
outcome_stratified_kfold,30,p0017S,0.09424795767964604
outcome_stratified_kfold,30,p002y,0.10304783859735842
outcome_stratified_kfold,30,p003p,0.12785345320645405
outcome_stratified_kfold,30,p0040,0.19551406424221648
outcome_stratified_kfold,30,p11,0.17336577145944534
outcome_stratified_kfold,30,pyo,0.08021979661084282
outcome_stratified_kfold,398,p0006,0.41888085880374626
outcome_stratified_kfold,398,p0017,0.26069725667754134
outcome_stratified_kfold,398,p0017S,0.135829496683195
outcome_stratified_kfold,398,p002y,0.22714675235671686
outcome_stratified_kfold,398,p003p,0.30352479614395494
outcome_stratified_kfold,398,p0040,0.08488940509740889
outcome_stratified_kfold,398,p11,0.07176423818611227
outcome_stratified_kfold,398,pyo,0.2980985663641309
outcome_stratified_kfold,45,p0006,0.21506159719379436
outcome_stratified_kfold,45,p0017,0.20985496235941348
outcome_stratified_kfold,45,p0017S,0.127258212301696
outcome_stratified_kfold,45,p002y,0.13325350443173425
outcome_stratified_kfold,45,p003p,0.10917473390628664
outcome_stratified_kfold,45,p0040,0.23672105068821292
outcome_stratified_kfold,45,p11,0.22621065897776704
outcome_stratified_kfold,45,pyo,0.2421044848189582
outcome_stratified_kfold,5,p0006,0.1069819444396679
outcome_stratified_kfold,5,p0017,0.19032446140495465
outcome_stratified_kfold,5,p0017S,0.06394918859292503
outcome_stratified_kfold,5,p002y,0.060778263569470796
outcome_stratified_kfold,5,p003p,0.05776542884234131
outcome_stratified_kfold,5,p0040,0.16216412218556311
outcome_stratified_kfold,5,p11,0.15645952987050984
outcome_stratified_kfold,5,pyo,0.04636341050144863
outcome_stratified_kfold,59,p0006,0.24375139103224375
outcome_stratified_kfold,59,p0017,0.3247304436120389
outcome_stratified_kfold,59,p0017S,0.23712564485779483
outcome_stratified_kfold,59,p002y,0.09856299361373355
outcome_stratified_kfold,59,p003p,0.06372048398921625
outcome_stratified_kfold,59,p0040,0.14067974240997796
outcome_stratified_kfold,59,p11,0.05368741518081414
outcome_stratified_kfold,59,pyo,0.0871427079403612
outcome_stratified_kfold,72,p0006,0.10909242851952519
outcome_stratified_kfold,72,p0017,0.16202874271270262
outcome_stratified_kfold,72,p0017S,0.11172005885363127
outcome_stratified_kfold,72,p002y,0.0506680136818081
outcome_stratified_kfold,72,p003p,0.0645651361354573
outcome_stratified_kfold,72,p0040,0.25314657019616205
outcome_stratified_kfold,72,p11,0.177153395081864
outcome_stratified_kfold,72,pyo,0.09543780401221133
outcome_stratified_kfold,8,p0006,0.08999666997390547
outcome_stratified_kfold,8,p0017,0.19310146337593348
outcome_stratified_kfold,8,p0017S,0.0765530851739361
outcome_stratified_kfold,8,p002y,0.0561357687959965
outcome_stratified_kfold,8,p003p,0.05960300997922765
outcome_stratified_kfold,8,p0040,0.2116308675383129
outcome_stratified_kfold,8,p11,0.2816162146166851
outcome_stratified_kfold,8,pyo,0.056706412385195006
outcome_stratified_kfold,80,p0006,0.5909370818181576
outcome_stratified_kfold,80,p0017,0.38061497814378464
outcome_stratified_kfold,80,p0017S,0.32570984036088824
outcome_stratified_kfold,80,p002y,0.3375331673279512
outcome_stratified_kfold,80,p003p,0.48169591076240315
outcome_stratified_kfold,80,p0040,0.29582130875334844
outcome_stratified_kfold,80,p11,0.23679804556024098
outcome_stratified_kfold,80,pyo,0.38083996326254993
outcome_stratified_kfold,97,p0006,0.09812688584798608
outcome_stratified_kfold,97,p0017,0.1896838063401843
outcome_stratified_kfold,97,p0017S,0.025608857542040803
outcome_stratified_kfold,97,p002y,0.035340958367373644
outcome_stratified_kfold,97,p003p,0.045665865470270205
outcome_stratified_kfold,97,p0040,0.07590151982511573
outcome_stratified_kfold,97,p11,0.10129087956554654
outcome_stratified_kfold,97,pyo,0.07988228845317233
random_kfold,1,p0006,0.09430682502494712
random_kfold,1,p0017,0.13403559071451585
random_kfold,1,p0017S,0.0860427322935629
random_kfold,1,p002y,0.0804720385346469
random_kfold,1,p003p,0.07251562994982146
random_kfold,1,p0040,0.10428184179274697
random_kfold,1,p11,0.20861131422561616
random_kfold,1,pyo,0.08251601434704092
random_kfold,10,p0006,0.3871736675188094
random_kfold,10,p0017,0.2584793249805602
random_kfold,10,p0017S,0.10937389056233596
random_kfold,10,p002y,0.03414996424045327
random_kfold,10,p003p,0.05211498931212416
random_kfold,10,p0040,0.29919470771974377
random_kfold,10,p11,0.2940587062960028
random_kfold,10,pyo,0.1662892815368811
random_kfold,121,p0006,0.16379868250078491
random_kfold,121,p0017,0.33157846599516544
random_kfold,121,p0017S,0.07676847242206668
random_kfold,121,p002y,0.11507128146299182
random_kfold,121,p003p,0.0986761761835912
random_kfold,121,p0040,0.14090509619270217
random_kfold,121,p11,0.11395705170243224
random_kfold,121,pyo,0.11311378836844337
random_kfold,15,p0006,0.15884579030904267
random_kfold,15,p0017,0.4437599428293629
random_kfold,15,p0017S,0.044483897046688134
random_kfold,15,p002y,0.021512895027184495
random_kfold,15,p003p,0.01888264501322466
random_kfold,15,p0040,0.41797035282770445
random_kfold,15,p11,0.1711925707702162
random_kfold,15,pyo,0.13628981429939313
random_kfold,22,p0006,0.11290513685943805
random_kfold,22,p0017,0.23879356422975345
random_kfold,22,p0017S,0.06519311368056555
random_kfold,22,p002y,0.014535223650205556
random_kfold,22,p003p,0.04519617380573934
random_kfold,22,p0040,0.2500691467500166
random_kfold,22,p11,0.20592709969360593
random_kfold,22,pyo,0.05377047951934388
random_kfold,25,p0006,0.1885180701207097
random_kfold,25,p0017,0.07244165712074124
random_kfold,25,p0017S,0.053359429145114656
random_kfold,25,p002y,0.10767258213035713
random_kfold,25,p003p,0.08471641666365898
random_kfold,25,p0040,0.14212915762708112
random_kfold,25,p11,0.1758642218122717
random_kfold,25,pyo,0.20995409214937943
random_kfold,30,p0006,0.21485200282962907
random_kfold,30,p0017,0.20761714485042118
random_kfold,30,p0017S,0.09799613533772279
random_kfold,30,p002y,0.0932897280462879
random_kfold,30,p003p,0.1125204846756368
random_kfold,30,p0040,0.17291121083001956
random_kfold,30,p11,0.1377055716824119
random_kfold,30,pyo,0.0878317906674664
random_kfold,398,p0006,0.2875763826404136
random_kfold,398,p0017,0.28493411018199344
random_kfold,398,p0017S,0.2461779657745638
random_kfold,398,p002y,0.12041050695699029
random_kfold,398,p003p,0.15836542344243246
random_kfold,398,p0040,0.11047655798427164
random_kfold,398,p11,0.10150388644072544
random_kfold,398,pyo,0.07254386428506707
random_kfold,45,p0006,0.24825102827065407
random_kfold,45,p0017,0.17541946045989942
random_kfold,45,p0017S,0.09890170147286648
random_kfold,45,p002y,0.11011250166093167
random_kfold,45,p003p,0.12539007310898795
random_kfold,45,p0040,0.2011984034397133
random_kfold,45,p11,0.22861872357208132
random_kfold,45,pyo,0.2311773397781719
random_kfold,5,p0006,0.1170020574650751
random_kfold,5,p0017,0.21421247162082635
random_kfold,5,p0017S,0.06702234066864897
random_kfold,5,p002y,0.06607494823175905
random_kfold,5,p003p,0.06469945591516536
random_kfold,5,p0040,0.16857135588680847
random_kfold,5,p11,0.17571294068525697
random_kfold,5,pyo,0.05321831819064284
random_kfold,59,p0006,0.25118544429623446
random_kfold,59,p0017,0.3767302534601895
random_kfold,59,p0017S,0.2701962959613453
random_kfold,59,p002y,0.13868439172056593
random_kfold,59,p003p,0.10436627375213446
random_kfold,59,p0040,0.19360342092370084
random_kfold,59,p11,0.04692036766064104
random_kfold,59,pyo,0.113656335989385
random_kfold,72,p0006,0.07748281263569727
random_kfold,72,p0017,0.14139218106270532
random_kfold,72,p0017S,0.0938694845044056
random_kfold,72,p002y,0.05460332919903079
random_kfold,72,p003p,0.05319239379960329
random_kfold,72,p0040,0.15859202618367316
random_kfold,72,p11,0.11987909798708518
random_kfold,72,pyo,0.057438828864085925
random_kfold,8,p0006,0.09836325450983367
random_kfold,8,p0017,0.2100276013766921
random_kfold,8,p0017S,0.07757071784994612
random_kfold,8,p002y,0.057727558839297366
random_kfold,8,p003p,0.05745870361536234
random_kfold,8,p0040,0.20717559964787294
random_kfold,8,p11,0.2867380923934888
random_kfold,8,pyo,0.0668714588106994
random_kfold,80,p0006,0.5570383226662614
random_kfold,80,p0017,0.4789517698705219
random_kfold,80,p0017S,0.30826888499129285
random_kfold,80,p002y,0.2926439441218813
random_kfold,80,p003p,0.43918061026025307
random_kfold,80,p0040,0.35582404117488853
random_kfold,80,p11,0.1853271431304616
random_kfold,80,pyo,0.29944341028528143
random_kfold,97,p0006,0.0807848216490001
random_kfold,97,p0017,0.17628303425617833
random_kfold,97,p0017S,0.010301384443428282
random_kfold,97,p002y,0.03243510257015096
random_kfold,97,p003p,0.03747653132365368
random_kfold,97,p0040,0.11874092083818948
random_kfold,97,p11,0.1549274235534099
random_kfold,97,pyo,0.12099058370856251
